idx,x,y,z,u,v,ok,confidence,std_u,std_v,timestamp,n_valid,image_path,overlay_path,mask_path
0,0.0,0.0,0.0,592.664418212479,33.02596314907873,1,0.0,0.08515709197566654,0.06586692512223323,1777475647.8583367,5,/Users/kimsumin/projects/RGMC/data/map/robot17/images/0000.png,/Users/kimsumin/projects/RGMC/data/map/robot17/overlays/0000_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot17/masks/0000_mask.png
1,0.0296875,0.0,0.0,595.5599268069533,38.831826401446655,1,0.0,0.08285772201858171,0.08107918594775176,1777475658.637433,5,/Users/kimsumin/projects/RGMC/data/map/robot17/images/0001.png,/Users/kimsumin/projects/RGMC/data/map/robot17/overlays/0001_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot17/masks/0001_mask.png
2,0.059375,0.0,0.0,598.6613358419568,51.22875816993464,1,0.0,0.36490453405175144,0.017710688196678478,1777475669.3024504,5,/Users/kimsumin/projects/RGMC/data/map/robot17/images/0002.png,/Users/kimsumin/projects/RGMC/data/map/robot17/overlays/0002_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot17/masks/0002_mask.png
3,0.08906249999999999,0.0,0.0,599.081876724931,63.40812557710065,1,0.0,0.03998349139593969,0.057556468484665516,1777475680.058387,5,/Users/kimsumin/projects/RGMC/data/map/robot17/images/0003.png,/Users/kimsumin/projects/RGMC/data/map/robot17/overlays/0003_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot17/masks/0003_mask.png
4,0.11875,0.0,0.0,599.1639492753624,75.8161231884058,1,0.0,0.060093994030993546,0.025346445028956253,1777475690.8250628,5,/Users/kimsumin/projects/RGMC/data/map/robot17/images/0004.png,/Users/kimsumin/projects/RGMC/data/map/robot17/overlays/0004_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot17/masks/0004_mask.png
5,0.1484375,0.0,0.0,599.3900709219859,88.68805704099822,1,0.0,0.02887481011023571,0.0734811909131939,1777475701.559556,5,/Users/kimsumin/projects/RGMC/data/map/robot17/images/0005.png,/Users/kimsumin/projects/RGMC/data/map/robot17/overlays/0005_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot17/masks/0005_mask.png
6,0.17812499999999998,0.0,0.0,599.3894189071987,101.5,1,0.0,0.075050421350709,0.07903937666537131,1777475712.7187312,5,/Users/kimsumin/projects/RGMC/data/map/robot17/images/0006.png,/Users/kimsumin/projects/RGMC/data/map/robot17/overlays/0006_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot17/masks/0006_mask.png
7,0.20781249999999998,0.0,0.0,599.5384615384615,115.13369963369964,1,0.0,0.0563661044424841,0.04677502855572535,1777475723.4920194,5,/Users/kimsumin/projects/RGMC/data/map/robot17/images/0007.png,/Users/kimsumin/projects/RGMC/data/map/robot17/overlays/0007_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot17/masks/0007_mask.png
8,0.2375,0.0,0.0,599.5166051660517,127.2948717948718,1,0.0,0.05722365693419648,0.2258598695291237,1777475734.090713,5,/Users/kimsumin/projects/RGMC/data/map/robot17/images/0008.png,/Users/kimsumin/projects/RGMC/data/map/robot17/overlays/0008_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot17/masks/0008_mask.png
9,0.26718749999999997,0.0,0.0,599.729184925504,141.30061349693253,1,0.0,0.04101218607541538,0.05156748665288202,1777475744.5318093,5,/Users/kimsumin/projects/RGMC/data/map/robot17/images/0009.png,/Users/kimsumin/projects/RGMC/data/map/robot17/overlays/0009_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot17/masks/0009_mask.png
10,0.296875,0.0,0.0,599.6847161572052,153.29082969432315,1,0.0,0.057057728193669756,0.056963704994966745,1777475756.1295772,5,/Users/kimsumin/projects/RGMC/data/map/robot17/images/0010.png,/Users/kimsumin/projects/RGMC/data/map/robot17/overlays/0010_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot17/masks/0010_mask.png
11,0.3265625,0.0,0.0,599.6482142857143,167.2471008028546,1,0.0,0.07967887566844983,0.056194532810633066,1777475766.6126857,5,/Users/kimsumin/projects/RGMC/data/map/robot17/images/0011.png,/Users/kimsumin/projects/RGMC/data/map/robot17/overlays/0011_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot17/masks/0011_mask.png
12,0.35624999999999996,0.0,0.0,600.0483175150993,180.47869674185463,1,0.0,0.310303447715029,0.03855664090811529,1777475777.4707284,5,/Users/kimsumin/projects/RGMC/data/map/robot17/images/0012.png,/Users/kimsumin/projects/RGMC/data/map/robot17/overlays/0012_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot17/masks/0012_mask.png
13,0.3859375,0.0,0.0,599.9688888888888,194.8382222222222,1,0.0,0.22597205300075834,0.028751584961034433,1777475788.157321,5,/Users/kimsumin/projects/RGMC/data/map/robot17/images/0013.png,/Users/kimsumin/projects/RGMC/data/map/robot17/overlays/0013_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot17/masks/0013_mask.png
14,0.41562499999999997,0.0,0.0,599.8612873980054,207.33843384338434,1,0.0,0.03006822458168162,0.0920193408858245,1777475800.342202,5,/Users/kimsumin/projects/RGMC/data/map/robot17/images/0014.png,/Users/kimsumin/projects/RGMC/data/map/robot17/overlays/0014_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot17/masks/0014_mask.png
15,0.4453125,0.0,0.0,599.83542039356,218.9892665474061,1,0.0,0.30115864630622147,0.03757615190350165,1777475811.0766847,5,/Users/kimsumin/projects/RGMC/data/map/robot17/images/0015.png,/Users/kimsumin/projects/RGMC/data/map/robot17/overlays/0015_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot17/masks/0015_mask.png
16,0.475,0.0,0.0,599.754039497307,231.43755615453728,1,0.0,0.02326896019521963,0.05297713109027738,1777475821.6416988,5,/Users/kimsumin/projects/RGMC/data/map/robot17/images/0016.png,/Users/kimsumin/projects/RGMC/data/map/robot17/overlays/0016_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot17/masks/0016_mask.png
