idx,x,y,z,u,v,ok,confidence,std_u,std_v,timestamp,n_valid,image_path,overlay_path,mask_path
0,0.0,0.0,0.0,591.023569023569,37.92424242424242,1,0.0,0.0659997417860991,0.051733899429353136,1776422007.178375,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0000.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0000_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0000_mask.png
1,0.029375,0.0,0.0,590.8141592920354,51.39396628216504,1,0.0,0.34153032720170257,0.10227914558923125,1776422019.668933,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0001.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0001_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0001_mask.png
2,0.05875,0.0,0.0,590.9180743243244,64.38305084745762,1,0.0,0.039014682492891875,0.1061671177650233,1776422031.4470212,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0002.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0002_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0002_mask.png
3,0.088125,0.0,0.0,590.8523605150215,77.08461538461539,1,0.0,0.07271320624434364,0.041718496714327515,1776422046.512693,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0003.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0003_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0003_mask.png
4,0.1175,0.0,0.0,589.7483766233767,90.2502030869212,1,0.0,0.3857594405052381,0.39905852818370413,1776422058.0282583,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0004.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0004_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0004_mask.png
5,0.14687499999999998,0.0,0.0,589.5984126984127,102.80839271575614,1,0.0,0.03407868171095239,0.031814492522657306,1776422069.149474,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0005.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0005_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0005_mask.png
6,0.17625,0.0,0.0,589.482420278005,116.61444805194805,1,0.0,0.06160506253399906,0.07719897363223403,1776422080.303058,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0006.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0006_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0006_mask.png
7,0.205625,0.0,0.0,589.0530120481927,129.52369477911645,1,0.0,0.04148743831244445,0.04036258074991988,1776422091.4532602,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0007.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0007_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0007_mask.png
8,0.235,0.0,0.0,588.2633333333333,142.20299500831948,1,0.0,0.01985741606048811,0.08260151144839158,1776422103.2883136,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0008.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0008_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0008_mask.png
9,0.26437499999999997,0.0,0.0,588.5572831423896,156.27786885245902,1,0.0,0.07523072447829285,0.03121215491252796,1776422114.3988657,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0009.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0009_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0009_mask.png
10,0.29374999999999996,0.0,0.0,587.8997514498757,168.92131979695432,1,0.0,0.11298920102996962,0.12300321347252001,1776422126.3670435,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0010.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0010_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0010_mask.png
11,0.323125,0.0,0.0,587.8719008264463,181.88493377483445,1,0.0,0.029017645299765076,0.05691182243620729,1776422138.0462313,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0011.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0011_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0011_mask.png
12,0.3525,0.0,0.0,587.8571428571429,194.80165975103733,1,0.0,0.05058996353994842,0.3861432858483813,1776422149.8176742,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0012.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0012_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0012_mask.png
13,0.38187499999999996,0.0,0.0,587.6076794657763,208.64357262103505,1,0.0,0.009172785323040803,0.011208131373293882,1776422161.3958683,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0013.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0013_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0013_mask.png
14,0.41125,0.0,0.0,587.9274395329442,221.6422628951747,1,0.0,0.06544016294293674,0.08949629645338623,1776422173.064744,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0014.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0014_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0014_mask.png
15,0.440625,0.0,0.0,587.1399006622516,233.75542570951586,1,0.0,0.021680151267329428,0.05198176727903702,1776422185.555941,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0015.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0015_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0015_mask.png
16,0.47,0.0,0.0,583.0913621262458,241.9228855721393,1,0.0,0.017503078023454178,0.033424466678531085,1776422198.4620745,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0016.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0016_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0016_mask.png
17,0.49937499999999996,0.0,0.0,580.5541299117883,255.7783417935702,1,0.0,0.06854453871368595,0.37902091316099296,1776422211.1967578,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0017.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0017_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0017_mask.png
18,0.5287499999999999,0.0,0.0,579.8144416456759,268.8554817275747,1,0.0,0.2054929544233435,0.09233896824247201,1776422222.7307367,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0018.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0018_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0018_mask.png
19,0.558125,0.0,0.0,579.798347107438,284.72282157676347,1,0.0,0.1340824698294152,0.07538159547147973,1776422234.6101918,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0019.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0019_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0019_mask.png
20,0.5874999999999999,0.0,0.0,582.8149705634987,297.8426311407161,1,0.0,0.37175228352311707,0.04152571532009272,1776422246.18887,5,/Users/kimsumin/projects/RGMC/data/map/robot19/images/0020.png,/Users/kimsumin/projects/RGMC/data/map/robot19/overlays/0020_overlay.png,/Users/kimsumin/projects/RGMC/data/map/robot19/masks/0020_mask.png
