idx,x,y,z,ok,reason,timestamp
614,0.655,0.5625,0.0,0,valid_frames=2<3,1775642253.9744713
878,0.655,0.8125,0.0,0,valid_frames=0<3,1775645084.8532436
902,0.68375,0.84375,0.0,0,valid_frames=0<3,1775645361.6235745
903,0.655,0.84375,0.0,0,valid_frames=0<3,1775645372.4322488
905,0.5975,0.84375,0.0,0,valid_frames=0<3,1775645394.9544024
944,0.655,0.875,0.0,0,valid_frames=0<3,1775645821.1122062
969,0.655,0.90625,0.0,0,valid_frames=0<3,1775646089.3598583
1010,0.655,0.9375,0.0,0,valid_frames=0<3,1775646531.478632
1035,0.655,0.96875,0.0,0,valid_frames=0<3,1775646796.7433636
1076,0.655,1.0,0.0,0,valid_frames=0<3,1775647233.25755
878,0.655,0.8125,0.0,0,valid_frames=0<3,1775647573.2785387
902,0.68375,0.84375,0.0,0,valid_frames=0<3,1775647583.8974137
903,0.655,0.84375,0.0,0,valid_frames=0<3,1775647594.4982448
905,0.5975,0.84375,0.0,0,valid_frames=0<3,1775647605.3955033
944,0.655,0.875,0.0,0,valid_frames=0<3,1775647616.0348837
969,0.655,0.90625,0.0,0,valid_frames=0<3,1775647626.6740856
1010,0.655,0.9375,0.0,0,valid_frames=0<3,1775647637.1634297
1035,0.655,0.96875,0.0,0,valid_frames=0<3,1775647647.7385273
1076,0.655,1.0,0.0,0,valid_frames=0<3,1775647658.4990573
878,0.655,0.8125,0.0,0,valid_frames=0<3,1775648589.6998265
902,0.68375,0.84375,0.0,0,valid_frames=0<3,1775648600.7662153
903,0.655,0.84375,0.0,0,valid_frames=0<3,1775648611.2296486
905,0.5975,0.84375,0.0,0,valid_frames=1<3,1775648621.8561308
944,0.655,0.875,0.0,0,valid_frames=0<3,1775648632.4349577
969,0.655,0.90625,0.0,0,valid_frames=0<3,1775648643.0508757
1010,0.655,0.9375,0.0,0,valid_frames=0<3,1775648653.451638
1035,0.655,0.96875,0.0,0,valid_frames=0<3,1775648664.1374514
1076,0.655,1.0,0.0,0,valid_frames=0<3,1775648674.6035244
