idx,x,y,u,v,ok,confidence,std_u,std_v,timestamp,n_valid,image_path,overlay_path,mask_path
0,0.0,0.01,616.6844197138315,25.111467522052926,1,0.0,0.32265072334378997,0.07092985097182183,1775093577.3807251,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0000.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0000_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0000_mask.png
1,0.0309375,0.01,617.1,38.10939907550077,1,0.0,0.09093473820683683,0.07176808582812153,1775093587.6183314,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0001.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0001_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0001_mask.png
2,0.061875,0.01,616.7904382470119,52.5872,1,0.0,0.07020241734920127,0.04764235645275135,1775093597.7566788,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0002.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0002_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0002_mask.png
3,0.09281249999999999,0.01,616.7363851617995,65.64561957379637,1,0.0,0.0847708791770357,0.08152648738079181,1775093608.300358,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0003.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0003_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0003_mask.png
4,0.12375,0.01,616.3021411578112,79.28514376996804,1,0.0,0.11554679434334113,0.07172322057499465,1775093618.5623627,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0004.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0004_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0004_mask.png
5,0.1546875,0.01,616.8273716951788,93.29434850863423,1,0.0,0.07718043645295102,0.04719752615462644,1775093629.1238742,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0005.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0005_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0005_mask.png
6,0.18562499999999998,0.01,616.5979782270607,107.01744647105473,1,0.0,0.12365618464280625,0.036074497891458376,1775093640.050095,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0006.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0006_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0006_mask.png
7,0.2165625,0.01,616.6526151444184,121.21642363775902,1,0.0,0.06578860476866162,0.04415785103372231,1775093650.2994614,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0007.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0007_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0007_mask.png
8,0.2475,0.01,616.4940898345154,134.19812059514487,1,0.0,0.05881583319385328,0.09406540243264122,1775093660.632788,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0008.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0008_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0008_mask.png
9,0.2784375,0.01,616.636648394675,148.7776037588097,1,0.0,0.021040941616410517,0.040960797938578604,1775093669.589777,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\images\0009.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\overlays\0009_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot29\masks\0009_mask.png
