idx,x,y,u,v,ok,confidence,std_u,std_v,timestamp,n_valid,image_path,overlay_path,mask_path,
0,0,0,570.256993,34.39947552,1,0,0.317244992,0.068530751,1775577647,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0000.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0000_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0000_mask.png,
1,0.0303125,0,570.5449541,47.72110092,1,0,0.288159847,0.202787031,1775577668,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0001.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0001_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0001_mask.png,
2,0.060625,0,569.773617,61.12947189,1,0,0.0440402,0.058465051,1775577696,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0002.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0002_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0002_mask.png,
3,0.0909375,0,570.6182938,74.02897278,1,0,0.113945567,0.12924478,1775577709,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0003.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0003_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0003_mask.png,
4,0.12125,0,570.8523985,87.19627907,1,0,0.071397662,0.140929467,1775577731,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0004.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0004_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0004_mask.png,
5,0.1515625,0,569.7212121,100.9504778,1,0,0.065582888,0.018570378,1775577747,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0005.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0005_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0005_mask.png,
6,0.181875,0,570.7751799,113.8573991,1,0,0.317535679,0.087306485,1775577759,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0006.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0006_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0006_mask.png,
7,0.2121875,0,570.664528,127.56382,1,0,0.025532434,0.065622772,1775577773,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0007.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0007_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0007_mask.png,
8,0.2425,0,570.6269336,140.7388939,1,0,0.029822138,0.035257315,1775577784,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0008.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0008_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0008_mask.png,
9,0.2728125,0,570.707124,153.5971856,1,0,0.335390078,0.098809887,1775577814,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0009.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0009_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0009_mask.png,
10,0.303125,0,569.7728843,167.6733275,1,0,0.398677901,0.091222903,1775577827,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0010.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0010_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0010_mask.png,
11,0.3334375,0,570.5568699,180.7327273,1,0,0.298442646,0.090449059,1775577841,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0011.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0011_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0011_mask.png,
12,0.36375,0,569.4606164,193.9491525,1,0,0.085845478,0.090296626,1775577869,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0012.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0012_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0012_mask.png,
13,0.3940625,0,570.8028674,207.7257194,1,0,0.355531026,0.152007448,1775577889,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0013.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0013_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0013_mask.png,
14,0.424375,0,569.9200344,220.7698145,1,0,0.025854212,0.048489592,1775577905,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0014.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0014_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0014_mask.png,
15,0.4546875,0,570.4859574,233.630102,1,0,0.08860797,0.055760745,1775577922,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0015.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0015_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0015_mask.png,
16,0.485,0,571.2834783,246.4551003,1,0,0.067430368,0.329822311,1775577935,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0016.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0016_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0016_mask.png,
17,0.5153125,0,570.1845343,260.4778838,1,0,0.063204891,0.038015006,1775577949,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0017.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0017_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0017_mask.png,
18,0.545625,0,570.9595687,272.9786096,1,0,0.036304778,0.092960304,1775577962,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0018.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0018_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0018_mask.png,
19,0.5759375,0,571.0087873,286.0123457,1,0,0.031251754,0.053126914,1775577975,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0019.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0019_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0019_mask.png,
20,0.60625,0,570.1424682,299.828365,1,0,0.06907642,0.038953907,1775577989,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0020.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0020_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0020_mask.png,
21,0.6365625,0,570.977396,312.7737882,1,0,0.117813958,0.07372093,1775578003,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0021.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0021_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0021_mask.png,
22,0.666875,0,570.5519263,325.9483926,1,0,0.281165017,0.064700406,1775578036,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0022.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0022_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0022_mask.png,
23,0.6971875,0,571.1328996,339.4340149,1,0,0.072891354,0.036441017,1775578047,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0023.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0023_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0023_mask.png,
24,0.7275,0,571.2965642,352.4214351,1,0,0.039124481,0.028393861,1775578057,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0024.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0024_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0024_mask.png,
25,0.7578125,0,571.6055705,365.4888093,1,0,0.057600323,0.051233613,1775578067,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0025.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0025_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0025_mask.png,
26,0.788125,0,571.1986628,379.2223282,1,0,0.040917613,0.019101806,1775578079,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0026.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0026_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0026_mask.png,
27,0.8184375,0,571.4131848,392.6118849,1,0,0.052360806,0.076934399,1775578090,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0027.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0027_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0027_mask.png,
28,0.84875,0,571.7915544,405.834681,1,0,0.066623448,0.024685938,1775578103,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0028.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0028_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0028_mask.png,
29,0.8790625,0,571.7188679,419.4553991,1,0,0.012757468,0.055178782,1775578114,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0029.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0029_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0029_mask.png,
30,0.909375,0,571.7430939,432.5405157,1,0,0.053899867,0.052853093,1775578126,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0030.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0030_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0030_mask.png,
31,0.9396875,0,571.6357798,445.5987144,1,0,0.089576608,0.073416218,1775578138,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0031.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0031_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0031_mask.png,
32,0.97,0,571.5343137,459.2245098,1,0,0.078272923,0.082276078,1775578156,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0032.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0032_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0032_mask.png,
33,0.97,0.03125,557.9970472,458.8653465,1,0,0.116781126,0.05350069,1775578170,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0033.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0033_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0033_mask.png,
34,0.9396875,0.03125,557.9926335,445.8910434,1,0,0.115562903,0.070699725,1775578187,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0034.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0034_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0034_mask.png,
35,0.909375,0.03125,557.8780952,432.7653846,1,0,0.142134969,0.082895129,1775578204,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0035.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0035_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0035_mask.png,
36,0.8790625,0.03125,558.2535478,419.4787133,1,0,0.061766095,0.038580132,1775578221,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0036.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0036_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0036_mask.png,
37,0.84875,0.03125,557.7517986,405.868823,1,0,0.061378474,0.084771357,1775578238,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0037.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0037_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0037_mask.png,
38,0.8184375,0.03125,557.2468416,393.0107632,1,0,0.170013437,0.025978428,1775578261,5,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\images\0038.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\overlays\0038_overlay.png,C:\Users\PC\Desktop\RGMC_2026\RGMC\RGMC\data\map\robot5\masks\0038_mask.png,
