idx,x,y,ok,reason,timestamp
589,0.12125,0.53125,0,valid_frames=0<3,1775615797.5319004
589,0.12125,0.53125,0,valid_frames=2<3,1775619664.375371
719,0.181875,0.65625,0,valid_frames=1<3,1775620021.1980157
722,0.0909375,0.65625,0,valid_frames=0<3,1775620050.4731941
729,0.0909375,0.6875,0,valid_frames=0<3,1775620115.662831
795,0.0909375,0.75,0,valid_frames=0<3,1775620734.3270361
797,0.1515625,0.75,0,valid_frames=0<3,1775620752.9083164
798,0.181875,0.75,0,valid_frames=1<3,1775620762.1406047
851,0.181875,0.78125,0,valid_frames=0<3,1775621269.38824
852,0.1515625,0.78125,0,valid_frames=0<3,1775621278.8206089
853,0.12125,0.78125,0,valid_frames=0<3,1775621288.0988693
862,0.12125,0.8125,0,valid_frames=2<3,1775621374.319301
863,0.1515625,0.8125,0,valid_frames=0<3,1775621384.0122797
864,0.181875,0.8125,0,valid_frames=0<3,1775621393.3310995
865,0.2121875,0.8125,0,valid_frames=1<3,1775621402.9553213
917,0.181875,0.84375,0,valid_frames=0<3,1775622223.5685794
918,0.1515625,0.84375,0,valid_frames=0<3,1775622232.9133425
929,0.1515625,0.875,0,valid_frames=2<3,1775622335.9919572
930,0.181875,0.875,0,valid_frames=0<3,1775622345.6135542
981,0.2425,0.90625,0,valid_frames=2<3,1775622821.6292584
982,0.2121875,0.90625,0,valid_frames=1<3,1775622830.9075742
589,0.12125,0.53125,,0,valid_frames=0<3,1775625367.2427177
719,0.181875,0.65625,,0,valid_frames=0<3,1775625376.600552
722,0.0909375,0.65625,,0,valid_frames=0<3,1775625386.717045
729,0.0909375,0.6875,,0,valid_frames=0<3,1775625395.8540428
795,0.0909375,0.75,,0,valid_frames=0<3,1775625405.0751522
797,0.1515625,0.75,,0,valid_frames=0<3,1775625414.2126656
798,0.181875,0.75,,0,valid_frames=0<3,1775625423.5756495
851,0.181875,0.78125,,0,valid_frames=0<3,1775625432.8550718
852,0.1515625,0.78125,,0,valid_frames=0<3,1775625442.3886015
853,0.12125,0.78125,,0,valid_frames=0<3,1775625451.8349047
862,0.12125,0.8125,,0,valid_frames=0<3,1775625461.340113
864,0.181875,0.8125,,0,valid_frames=0<3,1775625480.2268136
865,0.2121875,0.8125,,0,valid_frames=2<3,1775625489.523606
917,0.181875,0.84375,,0,valid_frames=0<3,1775625499.2610857
918,0.1515625,0.84375,,0,valid_frames=0<3,1775625509.7338135
929,0.1515625,0.875,,0,valid_frames=0<3,1775625520.3196335
930,0.181875,0.875,,0,valid_frames=0<3,1775625529.92022
981,0.2425,0.90625,,0,valid_frames=2<3,1775625538.9077435
983,0.181875,0.90625,,0,valid_frames=0<3,1775625558.0680811
984,0.1515625,0.90625,,0,valid_frames=2<3,1775625567.1922495
1061,0.1515625,1.0,,0,valid_frames=0<3,1775626298.442253
1062,0.181875,1.0,,0,valid_frames=0<3,1775626307.9062774
1063,0.2121875,1.0,,0,valid_frames=0<3,1775626317.3614848
1064,0.2425,1.0,,0,valid_frames=0<3,1775626327.4218466
719,0.181875,0.65625,,0,valid_frames=0<3,1775626709.4380176
722,0.0909375,0.65625,,0,valid_frames=1<3,1775626719.467747
729,0.0909375,0.6875,,0,valid_frames=1<3,1775626729.4013076
719,0.181875,0.65625,,0,valid_frames=0<3,1775626751.9038901
722,0.0909375,0.65625,,0,valid_frames=0<3,1775626761.4534528
729,0.0909375,0.6875,,0,valid_frames=0<3,1775626775.2297673
795,0.0909375,0.75,,0,valid_frames=0<3,1775626786.500428
797,0.1515625,0.75,,0,valid_frames=0<3,1775626798.2383485
798,0.181875,0.75,,0,valid_frames=0<3,1775626809.3524
851,0.181875,0.78125,,0,valid_frames=0<3,1775626820.6854653
852,0.1515625,0.78125,,0,valid_frames=0<3,1775626830.314454
853,0.12125,0.78125,,0,valid_frames=2<3,1775626841.6482124
862,0.12125,0.8125,,0,valid_frames=0<3,1775626850.7494102
864,0.181875,0.8125,,0,valid_frames=0<3,1775626859.8967035
865,0.2121875,0.8125,,0,valid_frames=1<3,1775626869.1857035
917,0.181875,0.84375,,0,valid_frames=0<3,1775626878.5925891
918,0.1515625,0.84375,,0,valid_frames=0<3,1775626887.9353766
929,0.1515625,0.875,,0,valid_frames=0<3,1775626897.192829
930,0.181875,0.875,,0,valid_frames=0<3,1775626906.4998834
981,0.2425,0.90625,,0,valid_frames=2<3,1775626915.6472714
983,0.181875,0.90625,,0,valid_frames=0<3,1775626925.643256
984,0.1515625,0.90625,,0,valid_frames=2<3,1775626936.2369502
1061,0.1515625,1.0,,0,valid_frames=2<3,1775626945.990169
1062,0.181875,1.0,,0,valid_frames=0<3,1775626955.2572536
1063,0.2121875,1.0,,0,valid_frames=1<3,1775626964.6608214
1064,0.2425,1.0,,0,valid_frames=0<3,1775626973.8601303
