episode,max_wall_sec,max_waypoints,mean_compute_sec,mean_execute_sec,mean_wall_sec,mean_waypoints,no_plan_steps,ok_steps,p90_wall_sec,seed,shape_type,success_reached
0,5.374368432366644,11,0.09743723846091037,3.0585359466142332,3.1559731850751436,2.8461538461538463,0,13,3.753771449722944,0,WEIGHTED_SQUARE,True
1,3.8328889408782425,3,0.15357328749996668,3.435952446927656,3.589525734427623,2.8125,0,16,3.828097240880802,1,WEIGHTED_SQUARE,True
2,3.8263548324623873,3,0.15377375333361368,3.4406005993305135,3.5943743526641274,2.8,0,15,3.8262421324591562,2,WEIGHTED_SQUARE,True
3,3.919460451072149,3,0.131134361538548,3.242042059276662,3.3731764208152097,2.5384615384615383,0,13,3.8285394896625684,3,WEIGHTED_SQUARE,True
4,4.877206540366911,9,0.15163100000014917,3.4833232975546795,3.6349542975548284,3.4,0,15,4.486458479328474,4,WEIGHTED_SQUARE,True
5,3.8274917681347853,3,0.1567102461533348,3.48393732016953,3.640647566322865,2.8461538461538463,0,13,3.8264126681289032,5,WEIGHTED_SQUARE,True
6,3.8979038354392737,3,0.14751728124997499,3.364539961857166,3.512057243107141,2.6875,0,16,3.847602768674329,6,WEIGHTED_SQUARE,True
7,5.169465059657737,11,0.14404644166643266,3.379733201143163,3.5237796428095955,3.25,0,12,3.8418721511186074,7,WEIGHTED_SQUARE,True
8,3.8737908497210083,3,0.16342097500000818,3.5236658502710343,3.6870868252710425,2.875,0,16,3.84945947832147,8,WEIGHTED_SQUARE,True
9,5.412019487385441,11,0.15182485294152523,3.3323719850683373,3.4841968380098627,3.411764705882353,0,17,5.3245366420499805,9,WEIGHTED_SQUARE,True
10,6.119107398134577,15,0.13851798571444565,3.638697546956898,3.7772155326713435,4.714285714285714,0,14,5.5751032844365245,10,WEIGHTED_SQUARE,True
11,5.400007258209955,11,0.16003561666699775,3.4774374250524978,3.6374730417194954,3.3333333333333335,0,12,3.8874880786958737,11,WEIGHTED_SQUARE,True
12,4.652350629205993,8,0.16284397333317127,3.589931861238315,3.752775834571486,3.7333333333333334,0,15,4.616940381104149,12,WEIGHTED_SQUARE,True
13,6.932403182823943,19,0.15435268181847112,4.016261118491235,4.170613800309706,6.363636363636363,0,11,5.6053202721923086,13,WEIGHTED_SQUARE,True
14,3.839847169100183,3,0.15825534999999036,3.4695613005643975,3.627816650564388,2.8125,0,16,3.8160827691030206,14,WEIGHTED_SQUARE,True
15,5.939338738128568,15,0.1424213142854569,3.593595024989293,3.73601633927475,4.285714285714286,0,14,4.641213309122056,15,WEIGHTED_SQUARE,True
16,6.53557556771565,17,0.13590929230765772,3.554520984946076,3.690430277253734,4.615384615384615,0,13,5.223489545655964,16,WEIGHTED_SQUARE,True
17,3.839956709118937,3,0.16482355333355372,3.524591726095755,3.689415279429309,2.8666666666666667,0,15,3.837188591839303,17,WEIGHTED_SQUARE,True
18,3.8427134698453456,3,0.14335336249973807,3.227598304698912,3.37095166719865,2.5625,0,16,3.8395542698475937,18,WEIGHTED_SQUARE,True
19,4.084224089863142,6,0.1598870000002185,3.4453287059554407,3.605215705955659,3.0,0,13,3.839051836589083,19,WEIGHTED_SQUARE,True
20,5.843205455188413,14,0.14776827857193503,3.5762154804494344,3.7239837590213694,4.357142857142857,0,14,5.545665079712481,20,WEIGHTED_SQUARE,True
21,5.793611170846737,13,0.15369295333293848,3.7572151473116286,3.9109081006445674,5.266666666666667,0,15,5.725480221779588,21,WEIGHTED_SQUARE,True
22,5.803979171690405,13,0.12476598461468641,3.298764418418862,3.4235304030335487,3.4615384615384617,0,13,4.515330906773633,22,WEIGHTED_SQUARE,True
23,5.735364153439746,13,0.13318237499940247,3.5543377801800573,3.6875201551794596,4.416666666666667,0,12,5.438038573114252,23,WEIGHTED_SQUARE,True
24,3.8689602110528547,3,0.15280567647042678,3.4655799158749487,3.6183855923453754,2.823529411764706,0,17,3.8562788189453796,24,WEIGHTED_SQUARE,True
25,3.8335194635201097,3,0.15291404666616776,3.325472696264652,3.47838674293082,2.6666666666666665,0,15,3.8333157635188204,25,WEIGHTED_SQUARE,True
26,4.898735894975411,9,0.12445295999956822,3.2762364618011746,3.400689421800743,3.1333333333333333,0,15,4.485544145656483,26,WEIGHTED_SQUARE,True
27,4.609473374856666,8,0.11240146923088244,3.159441678454837,3.2718431476857193,3.0,0,13,4.501968690090785,27,WEIGHTED_SQUARE,True
28,3.830873077380822,3,0.13814317499994408,3.1828574740779345,3.3210006490778783,2.5,0,12,3.817622501772872,28,WEIGHTED_SQUARE,True
29,5.632675865498604,13,0.13281179999989945,3.5594045000287013,3.692216300028601,4.625,0,16,5.477623614859591,29,WEIGHTED_SQUARE,True
30,5.191338976610644,11,0.10584108571362906,3.1598649840430233,3.2657060697566522,3.142857142857143,0,14,4.523133597230432,30,WEIGHTED_SQUARE,True
31,6.526458721180129,17,0.13349627333373065,3.375918853528915,3.509415126862646,3.466666666666667,0,15,3.906251457268115,31,WEIGHTED_SQUARE,True
32,6.50056959922091,17,0.12279169333317744,3.2996533436157445,3.422445036948922,3.466666666666667,0,15,4.117599729728875,32,WEIGHTED_SQUARE,True
33,4.48278165588745,7,0.1236476200002168,3.1314033045076544,3.255050924507871,2.6666666666666665,0,15,3.8316004181875973,33,WEIGHTED_SQUARE,True
34,5.651920263868432,13,0.1567402399998779,3.4569490748282727,3.6136893148281506,3.3333333333333335,0,15,3.8779408620894102,34,WEIGHTED_SQUARE,True
35,6.544540914084253,17,0.12583485384647458,3.4758125569133598,3.6016474107598344,4.461538461538462,0,13,5.423716775340183,35,WEIGHTED_SQUARE,True
36,4.2731055551202735,6,0.13831762499967226,3.349731583747007,3.4880492087466792,3.3125,0,16,4.26002200585373,36,WEIGHTED_SQUARE,True
37,4.898993295563045,9,0.15753962307644542,3.6656167587932353,3.8231563818696808,4.384615384615385,0,13,4.8938507350151905,37,WEIGHTED_SQUARE,True
38,5.529645280520896,13,0.13307554999960303,3.3717948691350075,3.5048704191346105,3.5,0,16,4.916852201923314,38,WEIGHTED_SQUARE,True
39,5.337655641353397,11,0.1203363307694627,3.2027349036989787,3.323071234468441,3.0,0,13,3.8213202958338526,39,WEIGHTED_SQUARE,True
40,5.568556858034499,13,0.16158319999934367,3.7617074591249002,3.923290659124244,5.2,0,15,5.384294746652441,40,WEIGHTED_SQUARE,True
41,3.8303989126397715,3,0.12940110769257165,3.043589626446437,3.1729907341390087,2.3076923076923075,0,13,3.8288018126404273,41,WEIGHTED_SQUARE,True
42,6.381111690411621,17,0.13231468571497576,3.7031566642982368,3.8354713500132127,5.357142857142857,0,14,5.53081242879286,42,WEIGHTED_SQUARE,True
43,5.3101804288701295,11,0.13735787999927804,3.422040124495788,3.559398004495066,3.933333333333333,0,15,4.823569143489608,43,WEIGHTED_SQUARE,True
44,5.201411365702844,11,0.16296537647105971,3.5594064441962567,3.7223718206673166,3.4705882352941178,0,17,4.32837284381039,44,WEIGHTED_SQUARE,True
45,5.33516343045266,11,0.1550921764702413,3.5751622854207694,3.7302544618910107,3.9411764705882355,0,17,4.964514388067719,45,WEIGHTED_SQUARE,True
46,5.971229835044394,15,0.13835450000033234,3.602159038715002,3.7405135387153345,4.4375,0,16,5.711718981739981,46,WEIGHTED_SQUARE,True
47,5.09230660538164,10,0.1572967333331083,3.486599821546892,3.64389655488,3.2,0,15,3.8305889188664213,47,WEIGHTED_SQUARE,True
48,5.288564569497258,11,0.16134693749995677,3.5200406513938782,3.681387588893835,3.5625,0,16,4.915249971055574,48,WEIGHTED_SQUARE,True
49,5.802182413354213,13,0.14558010624955386,3.405736071516516,3.55131617776607,3.25,0,16,3.886829453182648,49,WEIGHTED_SQUARE,True
